"Bevolking; geslacht, leeftijd, burgerlijke staat en regio, 1 januari"
"";"";"Onderwerpen";"Bevolking naar geslacht";"Bevolking naar geslacht";"Bevolking naar geslacht";"Bevolking: ongehuwd naar geslacht";"Bevolking: ongehuwd naar geslacht";"Bevolking: ongehuwd naar geslacht";"Bevolking: gehuwd naar geslacht";"Bevolking: gehuwd naar geslacht";"Bevolking: gehuwd naar geslacht";"Bevolking: verweduwd naar geslacht";"Bevolking: verweduwd naar geslacht";"Bevolking: verweduwd naar geslacht";"Bevolking: gescheiden naar geslacht";"Bevolking: gescheiden naar geslacht";"Bevolking: gescheiden naar geslacht";"Regionale coderingen"
"";"";"Onderwerpen";"Mannen en vrouwen";"Mannen";"Vrouwen";"Mannen en vrouwen";"Mannen";"Vrouwen";"Mannen en vrouwen";"Mannen";"Vrouwen";"Mannen en vrouwen";"Mannen";"Vrouwen";"Mannen en vrouwen";"Mannen";"Vrouwen";"Gemeente"
"Regio's";"Perioden";"Leeftijd";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"code"
"Reusel-De Mierden";"2006";"60 tot 65 jaar";"628";"342";"286";"23";"21";"2";"527";"287";"240";"54";"21";"33";"24";"13";"11";"1667"
"Reusel-De Mierden";"2006";"65 tot 70 jaar";"462";"231";"231";"24";"15";"9";"368";"201";"167";"60";"9";"51";"10";"6";"4";"1667"
"Reusel-De Mierden";"2006";"70 tot 75 jaar";"419";"198";"221";"28";"17";"11";"286";"149";"137";"90";"22";"68";"15";"10";"5";"1667"
"Reusel-De Mierden";"2006";"75 tot 80 jaar";"314";"131";"183";"15";"4";"11";"187";"108";"79";"106";"16";"90";"6";"3";"3";"1667"
"Reusel-De Mierden";"2006";"80 tot 85 jaar";"213";"88";"125";"21";"12";"9";"91";"54";"37";"100";"21";"79";"1";"1";"-";"1667"
"Reusel-De Mierden";"2006";"85 tot 90 jaar";"83";"23";"60";"8";"3";"5";"14";"9";"5";"60";"11";"49";"1";"-";"1";"1667"
"Reusel-De Mierden";"2006";"90 tot 95 jaar";"34";"8";"26";"2";"1";"1";"-";"-";"-";"32";"7";"25";"-";"-";"-";"1667"
"Reusel-De Mierden";"2006";"95 jaar of ouder";"5";"-";"5";"-";"-";"-";"-";"-";"-";"5";"-";"5";"-";"-";"-";"1667"
"Rheden";"2006";"Totaal leeftijden";"44189";"21325";"22864";"17650";"9412";"8238";"20197";"10081";"10116";"3540";"642";"2898";"2802";"1190";"1612";"0275"
"Rheden";"2006";"Jonger dan 5 jaar";"2173";"1136";"1037";"2173";"1136";"1037";" ";" ";" ";" ";" ";" ";" ";" ";" ";"0275"
