Regionale kerncijfers Nederland;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Onderwerpen;Bevolking;Bevolking;Bevolking;Bevolking;Bevolking;Bevolking;Bevolking;Bevolking;Bevolking;Bevolking;Bevolking;Bevolking;Bevolking;Bevolking;Bevolking;Bevolking;Bevolking;Bevolking;Bevolking;Bevolking;Bevolking;Bevolking;Bevolking;Bevolking;Bevolking;Bevolking;Bevolking;Bevolking;Bevolking;Bevolking;Bevolking
Bernheze;2006;29544;14876;14668;1936;2134;1956;1992;1527;8063;8056;3090;790;13021;14124;979;1420;27768;1776;1303;473;3;42;67;86;275;29594;10850;2266;3567;5017;2.68
Bernisse;2006;12673;6350;6323;687;789;779;793;601;3435;3817;1390;382;5055;6427;586;605;11672;1001;737;264;6;25;30;4;199;12671;5105;1145;1900;2060;2.47
Best;2006;29026;14470;14556;2023;2052;1953;1728;1374;8749;7591;2940;616;12430;13951;1473;1172;25318;3708;2182;1526;97;106;136;613;574;29016;11480;2762;3779;4939;2.52
Beuningen;2006;25078;12576;12502;1511;1741;1902;1702;1147;7094;7095;2270;616;11003;11648;1304;1123;22324;2754;1893;861;46;121;144;99;451;25154.5;9685;2256;2958;4471;2.56
Beverwijk;2006;36546;17917;18629;2225;2178;2015;1982;1782;10919;9355;4393;1697;16115;15392;2641;2398;29471;7075;3532;3543;279;110;254;1582;1318;36690.5;16510;5942;4862;5706;2.19
het Bildt;2006;11013;5622;5391;704;764;767;678;552;2985;2974;1203;386;5066;4762;564;621;10126;887;501;386;1;20;24;30;311;10988;4552;1386;1393;1773;2.39
De Bilt;2006;42037;19920;22117;2350;2631;2811;2514;1633;9704;12030;5718;2646;17728;18707;2560;3042;35973;6064;3915;2149;602;143;345;92;967;42026.5;18511;6637;5630;6244;2.24
Binnenmaas;2006;19636;9764;9872;1137;1154;1197;1109;851;5307;6054;2185;642;7563;10101;953;1019;18158;1478;1024;454;21;36;124;18;255;19625;7982;1797;3050;3135;2.45
Bladel;2006;19130;9725;9405;1226;1261;1296;1176;942;5313;5353;2101;462;8221;9245;755;909;17687;1443;1102;341;42;20;33;3;243;19094;7280;1656;2446;3178;2.6
Blaricum;2006;9114;4392;4722;434;538;577;504;360;1800;3340;1193;368;3441;4516;647;510;7616;1498;1081;417;43;31;69;25;249;9113;3883;1114;1324;1445;2.33
Bleiswijk;2006;10231;5205;5026;677;783;793;694;497;2730;2858;998;201;4359;5093;413;366;9043;1188;597;591;234;27;107;34;189;10304;3842;806;1264;1772;2.66
Bloemendaal;2006;16974;7986;8988;924;1240;1166;952;571;3215;5294;2377;1235;7001;7940;892;1141;14001;2973;2402;571;18;74;64;30;385;17001;7133;2371;2259;2503;2.3
Boarnsterhim;2006;19212;9667;9545;1360;1322;1199;1029;921;5417;5390;1889;685;8678;8606;923;1005;18199;1013;718;295;10;43;24;7;211;19263;8020;2310;2672;3038;2.38
Bodegraven;2006;19361;9701;9660;1338;1426;1398;1281;1070;5370;5098;1865;515;8631;9170;765;795;17191;2170;1049;1121;612;44;93;31;341;19363.5;7386;1855;2289;3242;2.6
Boekel;2006;9407;4808;4599;680;733;678;556;393;2703;2492;935;237;4223;4480;279;425;8997;410;304;106;7;7;19;1;72;9455;3308;654;1052;1602;2.76
Ten Boer;2006;7164;3597;3567;453;556;508;488;288;1966;2042;609;254;3164;3392;262;346;6766;398;283;115;0;16;21;11;67;7205;2745;642;899;1204;2.58
Bolsward;2006;9503;4642;4861;635;609;547;556;503;2550;2468;1155;480;4208;4129;493;673;8749;754;410;344;8;23;15;119;179;9551;4077;1357;1299;1421;2.28
Borger-Odoorn;2006;26303;13102;13201;1366;1670;1732;1514;1005;6683;8132;3238;963;10185;13326;1230;1562;24981;1322;997;325;7;24;53;21;220;26300;10737;2476;4129;4132;2.43
Borne;2006;20547;10243;10304;1299;1420;1447;1266;854;5295;5972;2407;587;8532;10129;797;1089;18305;2242;1375;867;6;20;17;287;537;20534;8226;2086;2800;3340;2.48
Borsele;2006;22415;11369;11046;1459;1602;1621;1451;1135;5937;6057;2365;788;9592;10774;996;1053;20909;1506;1158;348;24;28;59;31;206;22401;8815;2224;3013;3578;2.53
Boskoop;2006;15311;7709;7602;1099;1147;1023;874;781;4448;3985;1503;451;6744;7204;636;727;13388;1923;833;1090;681;18;48;23;320;15267;6110;1651;2016;2443;2.49
Boxmeer;2006;28950;14399;14551;1689;1996;1976;1777;1233;7801;8382;3194;902;12490;13764;1234;1462;25961;2989;2068;921;148;64;98;244;367;28838;11241;2767;3747;4727;2.52
Boxtel;2006;29676;14773;14903;1825;1686;1935;1966;1648;8045;8527;3096;948;12991;13634;1493;1558;25971;3705;1723;1982;511;195;193;317;766;29838.5;12085;3480;3889;4716;2.41
Breda;2006;169709;82352;87357;10305;9592;9706;9881;11739;50954;42198;18702;6632;82157;66961;11377;9214;135476;34233;17023;17210;4924;1993;2006;2806;5481;170029;78568;30803;23305;24460;2.13
Breukelen;2006;14571;7177;7394;1031;1030;909;858;664;4036;3835;1646;562;6496;6555;727;793;12892;1679;1145;534;104;26;89;23;292;14600.5;6065;1881;1849;2335;2.39
Brielle;2006;15990;7910;8080;894;937;984;917;692;4474;4830;1789;473;6359;7815;966;850;14175;1815;1264;551;14;76;73;78;310;15954;6799;1871;2358;2570;2.33
Bronckhorst;2006;37700;18730;18970;2176;2337;2565;2067;1450;9358;11149;5049;1549;15306;18614;1259;2521;35757;1943;1472;471;8;39;45;85;294;37744;14742;3355;5332;6055;2.54
Brummen;2006;21385;10621;10764;1176;1388;1381;1281;958;5494;6119;2790;798;8573;10677;872;1263;19055;2330;1301;1029;34;44;46;668;237;21307;8509;2033;3059;3417;2.48
Brunssum;2006;29623;14388;15235;1334;1540;1634;1670;1488;7958;8582;4095;1322;11422;13533;2441;2227;22369;7254;6159;1095;415;109;74;42;455;29606.5;13423;4450;4290;4683;2.18
Bunnik;2006;14234;7020;7214;891;922;995;862;529;3484;4103;1950;498;6037;6909;609;679;12779;1455;980;475;75;63;58;18;261;14197;5808;1583;1992;2233;2.43
Bunschoten;2006;19468;9777;9691;1372;1448;1484;1498;1418;5587;4621;1642;398;8433;9697;570;768;18140;1328;560;768;39;38;46;388;257;19471.5;6786;1385;1859;3542;2.85
Buren;2006;25584;12795;12789;1557;1755;1653;1575;1133;7044;7703;2513;651;10341;12794;1074;1375;24133;1451;1148;303;29;33;60;8;173;25615.5;9818;2092;3456;4270;2.59
Bussum;2006;31237;14636;16601;2021;2042;1823;1554;1261;8328;7945;4199;2064;14024;12723;2216;2274;25492;5745;3707;2038;606;129;149;255;899;31272.5;14332;5850;3953;4529;2.14
