"Bevolking; geslacht, leeftijd, burgerlijke staat en regio, 1 januari"
"";"";"Onderwerpen";"Bevolking naar geslacht";"Bevolking naar geslacht";"Bevolking naar geslacht";"Bevolking: ongehuwd naar geslacht";"Bevolking: ongehuwd naar geslacht";"Bevolking: ongehuwd naar geslacht";"Bevolking: gehuwd naar geslacht";"Bevolking: gehuwd naar geslacht";"Bevolking: gehuwd naar geslacht";"Bevolking: verweduwd naar geslacht";"Bevolking: verweduwd naar geslacht";"Bevolking: verweduwd naar geslacht";"Bevolking: gescheiden naar geslacht";"Bevolking: gescheiden naar geslacht";"Bevolking: gescheiden naar geslacht";"Regionale coderingen"
"";"";"Onderwerpen";"Mannen en vrouwen";"Mannen";"Vrouwen";"Mannen en vrouwen";"Mannen";"Vrouwen";"Mannen en vrouwen";"Mannen";"Vrouwen";"Mannen en vrouwen";"Mannen";"Vrouwen";"Mannen en vrouwen";"Mannen";"Vrouwen";"Gemeente"
"Regio's";"Perioden";"Leeftijd";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"code"
"Abcoude";"2006";"Totaal leeftijden";"8670";"4265";"4405";"3853";"2011";"1842";"3996";"1995";"2001";"391";"82";"309";"430";"177";"253";"0305"
"Abcoude";"2006";"Jonger dan 5 jaar";"631";"323";"308";"631";"323";"308";" ";" ";" ";" ";" ";" ";" ";" ";" ";"0305"
"Abcoude";"2006";"5 tot 10 jaar";"707";"352";"355";"707";"352";"355";" ";" ";" ";" ";" ";" ";" ";" ";" ";"0305"
"Abcoude";"2006";"10 tot 15 jaar";"615";"312";"303";"615";"312";"303";" ";" ";" ";" ";" ";" ";" ";" ";" ";"0305"
"Abcoude";"2006";"15 tot 20 jaar";"515";"271";"244";"515";"271";"244";"-";"-";"-";"-";"-";"-";"-";"-";"-";"0305"
"Abcoude";"2006";"20 tot 25 jaar";"262";"141";"121";"260";"140";"120";"2";"1";"1";"-";"-";"-";"-";"-";"-";"0305"
"Abcoude";"2006";"25 tot 30 jaar";"212";"93";"119";"168";"83";"85";"43";"10";"33";"-";"-";"-";"1";"-";"1";"0305"
"Abcoude";"2006";"30 tot 35 jaar";"465";"208";"257";"229";"116";"113";"224";"87";"137";"-";"-";"-";"12";"5";"7";"0305"
"Abcoude";"2006";"35 tot 40 jaar";"705";"329";"376";"223";"133";"90";"455";"186";"269";"2";"1";"1";"25";"9";"16";"0305"
"Abcoude";"2006";"40 tot 45 jaar";"835";"420";"415";"173";"104";"69";"616";"302";"314";"3";"1";"2";"43";"13";"30";"0305"
"Abcoude";"2006";"45 tot 50 jaar";"718";"361";"357";"122";"63";"59";"528";"272";"256";"7";"-";"7";"61";"26";"35";"0305"
"Abcoude";"2006";"50 tot 55 jaar";"611";"316";"295";"57";"28";"29";"475";"253";"222";"11";"2";"9";"68";"33";"35";"0305"
"Abcoude";"2006";"55 tot 60 jaar";"607";"304";"303";"56";"35";"21";"447";"224";"223";"21";"6";"15";"83";"39";"44";"0305"
"Abcoude";"2006";"60 tot 65 jaar";"471";"228";"243";"30";"18";"12";"363";"189";"174";"26";"5";"21";"52";"16";"36";"0305"
"Abcoude";"2006";"65 tot 70 jaar";"416";"201";"215";"25";"16";"9";"302";"153";"149";"46";"10";"36";"43";"22";"21";"0305"
"Abcoude";"2006";"70 tot 75 jaar";"354";"164";"190";"22";"11";"11";"240";"133";"107";"74";"14";"60";"18";"6";"12";"0305"
"Abcoude";"2006";"75 tot 80 jaar";"293";"131";"162";"10";"5";"5";"197";"110";"87";"74";"12";"62";"12";"4";"8";"0305"
"Abcoude";"2006";"80 tot 85 jaar";"179";"80";"99";"10";"1";"9";"85";"60";"25";"76";"15";"61";"8";"4";"4";"0305"
"Abcoude";"2006";"85 tot 90 jaar";"59";"27";"32";"-";"-";"-";"17";"13";"4";"40";"14";"26";"2";"-";"2";"0305"
"Abcoude";"2006";"90 tot 95 jaar";"13";"4";"9";"-";"-";"-";"2";"2";"-";"9";"2";"7";"2";"-";"2";"0305"
"Abcoude";"2006";"95 jaar of ouder";"2";"-";"2";"-";"-";"-";"-";"-";"-";"2";"-";"2";"-";"-";"-";"0305"
"Achtkarspelen";"2006";"Totaal leeftijden";"28223";"14327";"13896";"12489";"6984";"5505";"13045";"6519";"6526";"1564";"295";"1269";"1125";"529";"596";"0059"
"Achtkarspelen";"2006";"Jonger dan 5 jaar";"1903";"1021";"882";"1903";"1021";"882";" ";" ";" ";" ";" ";" ";" ";" ";" ";"0059"
"Achtkarspelen";"2006";"5 tot 10 jaar";"1813";"912";"901";"1813";"912";"901";" ";" ";" ";" ";" ";" ";" ";" ";" ";"0059"
"Achtkarspelen";"2006";"10 tot 15 jaar";"1747";"931";"816";"1747";"931";"816";" ";" ";" ";" ";" ";" ";" ";" ";" ";"0059"
"Achtkarspelen";"2006";"15 tot 20 jaar";"1891";"998";"893";"1889";"998";"891";"2";"-";"2";"-";"-";"-";"-";"-";"-";"0059"
"Achtkarspelen";"2006";"20 tot 25 jaar";"1701";"884";"817";"1582";"857";"725";"118";"27";"91";"-";"-";"-";"1";"-";"1";"0059"
"Achtkarspelen";"2006";"25 tot 30 jaar";"1624";"849";"775";"1134";"682";"452";"476";"163";"313";"1";"-";"1";"13";"4";"9";"0059"
"Achtkarspelen";"2006";"30 tot 35 jaar";"1964";"986";"978";"796";"489";"307";"1114";"481";"633";"5";"1";"4";"49";"15";"34";"0059"
"Achtkarspelen";"2006";"35 tot 40 jaar";"2128";"1142";"986";"521";"340";"181";"1493";"747";"746";"8";"4";"4";"106";"51";"55";"0059"
"Achtkarspelen";"2006";"40 tot 45 jaar";"2071";"1065";"1006";"327";"213";"114";"1544";"770";"774";"20";"5";"15";"180";"77";"103";"0059"
"Achtkarspelen";"2006";"45 tot 50 jaar";"2057";"1025";"1032";"265";"186";"79";"1568";"738";"830";"32";"6";"26";"192";"95";"97";"0059"
"Achtkarspelen";"2006";"50 tot 55 jaar";"1943";"1002";"941";"150";"108";"42";"1584";"807";"777";"43";"11";"32";"166";"76";"90";"0059"
"Achtkarspelen";"2006";"55 tot 60 jaar";"1976";"1047";"929";"103";"81";"22";"1618";"855";"763";"87";"22";"65";"168";"89";"79";"0059"
"Achtkarspelen";"2006";"60 tot 65 jaar";"1508";"766";"742";"74";"60";"14";"1199";"621";"578";"133";"29";"104";"102";"56";"46";"0059"
"Achtkarspelen";"2006";"65 tot 70 jaar";"1268";"651";"617";"68";"55";"13";"962";"529";"433";"168";"37";"131";"70";"30";"40";"0059"
"Achtkarspelen";"2006";"70 tot 75 jaar";"1012";"484";"528";"34";"21";"13";"683";"379";"304";"253";"59";"194";"42";"25";"17";"0059"
"Achtkarspelen";"2006";"75 tot 80 jaar";"750";"299";"451";"34";"15";"19";"418";"236";"182";"279";"43";"236";"19";"5";"14";"0059"
"Achtkarspelen";"2006";"80 tot 85 jaar";"491";"172";"319";"28";"10";"18";"202";"122";"80";"250";"35";"215";"11";"5";"6";"0059"
"Achtkarspelen";"2006";"85 tot 90 jaar";"261";"75";"186";"14";"4";"10";"55";"37";"18";"187";"33";"154";"5";"1";"4";"0059"
"Achtkarspelen";"2006";"90 tot 95 jaar";"93";"17";"76";"6";"1";"5";"9";"7";"2";"78";"9";"69";"-";"-";"-";"0059"
"Achtkarspelen";"2006";"95 jaar of ouder";"22";"1";"21";"1";"-";"1";"-";"-";"-";"20";"1";"19";"1";"-";"1";"0059"
"Alblasserdam";"2006";"Totaal leeftijden";"18426";"8966";"9460";"7516";"3983";"3533";"8883";"4435";"4448";"1231";"226";"1005";"796";"322";"474";"0482"
"Alblasserdam";"2006";"Jonger dan 5 jaar";"1338";"662";"676";"1338";"662";"676";" ";" ";" ";" ";" ";" ";" ";" ";" ";"0482"
"Alblasserdam";"2006";"5 tot 10 jaar";"1256";"634";"622";"1256";"634";"622";" ";" ";" ";" ";" ";" ";" ";" ";" ";"0482"
"Alblasserdam";"2006";"10 tot 15 jaar";"1259";"627";"632";"1259";"627";"632";" ";" ";" ";" ";" ";" ";" ";" ";" ";"0482"
"Alblasserdam";"2006";"15 tot 20 jaar";"1103";"580";"523";"1100";"580";"520";"3";"-";"3";"-";"-";"-";"-";"-";"-";"0482"
"Alblasserdam";"2006";"20 tot 25 jaar";"986";"490";"496";"794";"441";"353";"190";"48";"142";"-";"-";"-";"2";"1";"1";"0482"
"Alblasserdam";"2006";"25 tot 30 jaar";"960";"489";"471";"471";"282";"189";"471";"205";"266";"-";"-";"-";"18";"2";"16";"0482"
