"Bevolking op 1 januari; leeftijd, geboorteland en regio"
"";"Perioden";"2006";"2006";"2006";"2006"
"";"Onderwerpen";"Mannen";"Mannen";"Vrouwen";"Vrouwen"
"";"Geboorteland";"Totaal buitenland";"Nederland";"Totaal buitenland";"Nederland"
"Regio's";"Leeftijd";"aantal";"aantal";"aantal";"aantal"
"Beek (L.)";"30 tot 45 jaar";"102";"1653";"134";"1697"
"Beek (L.)";"45 tot 65 jaar";"185";"2432";"149";"2388"
"Beek (L.)";"65 jaar of ouder";"56";"1163";"76";"1533"
"Beemster";"0 tot 15 jaar";"15";"837";"16";"792"
"Beemster";"15 tot 30 jaar";"34";"619";"29";"558"
"Beemster";"30 tot 45 jaar";"32";"861";"55";"875"
"Beemster";"45 tot 65 jaar";"50";"1237";"47";"1200"
"Beemster";"65 jaar of ouder";"14";"583";"22";"639"
"Beesel";"0 tot 15 jaar";"33";"1212";"38";"1175"
"Beesel";"15 tot 30 jaar";"54";"1076";"84";"953"
"Beesel";"30 tot 45 jaar";"115";"1456";"146";"1363"
"Beesel";"45 tot 65 jaar";"153";"1861";"109";"1794"
"Beesel";"65 jaar of ouder";"50";"768";"76";"1005"
"Bellingwedde";"0 tot 15 jaar";"28";"743";"28";"702"
"Bellingwedde";"15 tot 30 jaar";"144";"580";"79";"522"
"Bellingwedde";"30 tot 45 jaar";"96";"914";"83";"920"
"Bellingwedde";"45 tot 65 jaar";"76";"1526";"100";"1408"
"Bellingwedde";"65 jaar of ouder";"21";"773";"63";"934"
"Bennebroek";"0 tot 15 jaar";"17";"424";"20";"430"
"Bennebroek";"15 tot 30 jaar";"20";"259";"23";"194"
"Bennebroek";"30 tot 45 jaar";"38";"396";"51";"445"
"Bennebroek";"45 tot 65 jaar";"43";"682";"48";"725"
"Bennebroek";"65 jaar of ouder";"28";"501";"55";"732"
"Bergambacht";"0 tot 15 jaar";"15";"973";"14";"924"
"Bergambacht";"15 tot 30 jaar";"32";"758";"43";"741"
"Bergambacht";"30 tot 45 jaar";"46";"880";"58";"936"
"Bergambacht";"45 tot 65 jaar";"32";"1241";"58";"1228"
"Bergambacht";"65 jaar of ouder";"9";"643";"9";"758"
"Bergeijk";"0 tot 15 jaar";"40";"1748";"44";"1705"
"Bergeijk";"15 tot 30 jaar";"52";"1419";"61";"1242"
"Bergeijk";"30 tot 45 jaar";"68";"1977";"117";"1847"
"Bergeijk";"45 tot 65 jaar";"83";"2585";"102";"2385"
"Bergeijk";"65 jaar of ouder";"27";"1161";"48";"1349"
"Bergen (L.)";"0 tot 15 jaar";"46";"1174";"54";"1227"
"Bergen (L.)";"15 tot 30 jaar";"65";"1010";"78";"920"
"Bergen (L.)";"30 tot 45 jaar";"95";"1445";"138";"1369"
"Bergen (L.)";"45 tot 65 jaar";"145";"1922";"130";"1774"
"Bergen (L.)";"65 jaar of ouder";"57";"835";"89";"1039"
"Bergen (NH.)";"0 tot 15 jaar";"156";"2500";"149";"2300"
"Bergen (NH.)";"15 tot 30 jaar";"138";"1995";"166";"1785"
"Bergen (NH.)";"30 tot 45 jaar";"201";"2626";"283";"2698"
"Bergen (NH.)";"45 tot 65 jaar";"276";"4625";"382";"4846"
"Bergen (NH.)";"65 jaar of ouder";"123";"2645";"189";"3422"
"Bergen op Zoom";"0 tot 15 jaar";"197";"5742";"178";"5466"
"Bergen op Zoom";"15 tot 30 jaar";"652";"4810";"703";"4730"
"Bergen op Zoom";"30 tot 45 jaar";"1500";"6021";"1473";"5991"
"Bergen op Zoom";"45 tot 65 jaar";"916";"8427";"975";"8054"
"Bergen op Zoom";"65 jaar of ouder";"373";"3838";"445";"5276"
"Bergschenhoek";"0 tot 15 jaar";"82";"2146";"79";"2059"
"Bergschenhoek";"15 tot 30 jaar";"54";"1019";"91";"990"
"Bergschenhoek";"30 tot 45 jaar";"225";"2214";"286";"2231"
"Bergschenhoek";"45 tot 65 jaar";"124";"1725";"146";"1645"
"Bergschenhoek";"65 jaar of ouder";"25";"655";"41";"769"
"Berkel en Rodenrijs";"0 tot 15 jaar";"52";"1953";"78";"1835"
"Berkel en Rodenrijs";"15 tot 30 jaar";"97";"1527";"104";"1351"
"Berkel en Rodenrijs";"30 tot 45 jaar";"190";"2096";"239";"2127"
"Berkel en Rodenrijs";"45 tot 65 jaar";"164";"2420";"174";"2312"
"Berkel en Rodenrijs";"65 jaar of ouder";"46";"1056";"65";"1298"
"Berkelland";"0 tot 15 jaar";"80";"4264";"84";"3992"
"Berkelland";"15 tot 30 jaar";"154";"3361";"133";"3066"
"Berkelland";"30 tot 45 jaar";"175";"4924";"241";"4532"
"Berkelland";"45 tot 65 jaar";"194";"6453";"238";"6168"
"Berkelland";"65 jaar of ouder";"86";"3130";"125";"3894"
"Bernheze";"0 tot 15 jaar";"57";"2994";"62";"2913"
"Bernheze";"15 tot 30 jaar";"89";"2548";"96";"2262"
"Bernheze";"30 tot 45 jaar";"103";"3238";"155";"3091"
"Bernheze";"45 tot 65 jaar";"121";"4024";"120";"3791"
